,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Mozambique","2019","58.1","54.5","61.7","15.8","13.3","17.8","50.4","47.9","52.8","11.6","9.8","13.0"
"Mozambique","2015","55.9","52.4","59.4","15.3","12.7","17.5","48.6","46.2","50.9","11.2","9.4","12.8"
"Mozambique","2010","53.5","50.7","56.3","15.1","12.5","17.4","46.5","44.6","48.3","11.1","9.2","12.7"
"Mozambique","2000","50.7","48.4","53.1","15.2","13.1","17.2","43.6","42.1","45.1","11.0","9.6","12.4"
"Myanmar","2019","69.1","65.9","72.2","18.1","16.2","19.6","60.9","58.8","62.8","13.6","12.4","14.6"
"Myanmar","2015","67.6","64.3","70.7","17.7","15.8","19.3","59.6","57.5","61.5","13.3","12.1","14.3"
"Myanmar","2010","64.8","61.6","67.9","17.0","15.1","18.6","57.2","55.2","59.1","12.8","11.6","13.8"
"Myanmar","2000","60.0","57.3","62.7","15.4","13.8","16.9","52.9","51.2","54.7","11.7","10.6","12.6"
"Namibia","2019","64.6","60.6","68.4","17.2","14.7","19.3","56.1","53.4","58.6","12.7","10.8","14.2"
"Namibia","2015","62.9","59.4","66.2","17.0","14.5","19.1","54.6","52.3","56.7","12.5","10.7","14.0"
"Namibia","2010","60.9","57.3","64.7","16.4","13.9","18.8","52.9","50.5","55.4","12.1","10.3","13.8"
"Namibia","2000","53.3","51.0","55.5","14.6","12.7","16.3","46.6","45.2","47.9","10.8","9.4","12.0"
"Nepal","2019","70.9","68.9","72.7","18.0","16.8","19.2","61.3","60.6","62.1","13.3","12.7","13.8"
"Nepal","2015","69.4","67.3","71.4","17.8","16.7","18.9","60.2","59.3","61.1","13.1","12.6","13.7"
"Nepal","2010","69.2","67.5","70.9","18.1","17.2","19.0","59.9","59.4","60.5","13.3","12.9","13.7"
"Nepal","2000","65.3","63.9","66.6","17.6","16.7","18.3","56.3","55.8","56.7","12.8","12.4","13.1"
"Netherlands","2019","81.8","80.4","83.1","24.1","23.0","25.1","71.4","71.3","71.5","18.4","17.9","18.9"
"Netherlands","2015","81.3","79.7","82.8","23.6","22.3","24.9","71.1","70.9","71.3","18.1","17.4","18.8"
"Netherlands","2010","80.7","78.7","82.5","23.3","21.6","24.8","70.9","70.3","71.4","18.1","17.0","19.0"
"Netherlands","2000","78.0","75.5","80.4","21.3","19.1","23.2","68.8","67.7","69.8","16.6","15.1","17.9"
"New Zealand","2019","82.0","80.4","83.5","24.8","23.8","25.8","70.2","69.6","70.8","18.6","17.9","19.2"
"New Zealand","2015","81.3","79.7","82.9","24.3","23.2","25.3","69.9","69.3","70.5","18.2","17.6","18.9"
"New Zealand","2010","80.9","79.1","82.7","24.2","23.0","25.4","69.8","69.0","70.6","18.3","17.5","19.0"
"New Zealand","2000","78.6","76.0","81.1","22.4","20.5","24.1","67.8","66.4","69.2","16.9","15.6","18.0"
"Nicaragua","2019","75.0","72.1","77.9","20.0","18.0","21.9","65.5","63.7","67.2","15.1","13.7","16.3"
"Nicaragua","2015","74.6","71.8","77.3","19.9","18.2","21.5","65.2","63.4","66.8","15.1","13.9","16.1"
"Nicaragua","2010","74.1","71.4","76.7","19.6","18.0","21.1","64.7","63.0","66.3","14.9","13.8","15.9"
"Nicaragua","2000","73.3","70.8","75.7","20.1","18.6","21.3","63.7","62.2","65.2","15.1","14.2","16.0"
"Niger","2019","63.3","62.1","64.6","17.2","16.6","17.8","55.5","55.3","55.8","13.0","12.7","13.3"
"Niger","2015","61.5","60.3","62.9","16.8","16.2","17.5","54.1","53.8","54.5","12.8","12.5","13.1"
"Niger","2010","59.0","57.8","60.2","16.6","15.9","17.2","51.9","51.6","52.2","12.7","12.3","13.0"
"Niger","2000","50.4","49.7","51.0","15.8","15.3","16.2","44.2","44.2","44.2","12.0","11.8","12.2"
"Nigeria","2019","62.6","61.2","64.1","18.2","17.6","18.9","54.4","53.9","54.9","13.5","13.3","13.8"
"Nigeria","2015","61.2","59.6","62.8","17.8","17.1","18.5","53.1","52.5","53.8","13.2","12.9","13.5"
"Nigeria","2010","59.2","57.8","60.8","17.3","16.5","18.0","51.5","51.0","52.1","12.8","12.5","13.2"
"Nigeria","2000","53.6","52.2","55.2","16.2","15.4","17.0","46.5","45.8","47.2","12.0","11.6","12.3"
"Norway","2019","82.6","81.1","84.1","24.7","23.5","25.8","71.4","71.0","71.6","18.5","17.8","19.1"
"Norway","2015","82.0","80.3","83.7","24.2","22.8","25.4","71.2","70.6","71.9","18.3","17.4","19.1"
"Norway","2010","80.9","78.8","82.9","23.5","21.9","25.0","70.2","69.3","71.0","17.6","16.6","18.6"
"Norway","2000","78.5","75.9","81.2","22.0","20.0","23.7","68.4","67.0","69.8","16.7","15.3","17.9"
"Oman","2019","73.9","73.0","75.3","17.8","17.2","18.5","64.7","64.5","64.5","13.2","12.9","13.5"
"Oman","2015","72.5","71.4","74.1","16.7","16.0","17.5","63.7","63.4","63.8","12.5","12.0","12.9"
"Oman","2010","70.4","69.0","72.5","15.9","15.2","16.8","62.0","61.5","62.7","11.9","11.5","12.4"
"Oman","2000","69.1","67.3","71.5","15.6","14.7","16.6","60.9","60.1","61.9","11.7","11.2","12.3"
"Pakistan","2019","65.6","64.6","66.7","17.3","16.8","17.8","56.9","56.9","56.8","12.6","12.5","12.6"
"Pakistan","2015","64.2","63.1","65.4","16.8","16.3","17.4","55.8","55.8","55.8","12.3","12.2","12.4"
"Pakistan","2010","62.6","61.5","63.9","16.4","15.8","17.1","54.5","54.4","54.5","12.0","11.9","12.1"
"Pakistan","2000","60.1","59.3","61.0","15.7","15.2","16.4","52.3","52.6","52.1","11.5","11.4","11.7"
"Panama","2019","79.3","76.6","82.1","24.3","22.6","26.0","68.7","67.4","70.0","18.1","17.1","19.2"
"Panama","2015","78.7","76.2","81.4","24.0","22.6","25.4","68.3","67.0","69.6","18.0","17.1","18.9"
"Panama","2010","77.5","74.6","80.6","23.3","21.7","25.0","67.5","65.9","69.1","17.6","16.6","18.6"
"Panama","2000","77.2","74.6","80.1","23.3","21.8","24.9","67.2","65.9","68.6","17.6","16.7","18.5"
"Papua New Guinea","2019","65.3","63.4","67.4","16.5","15.4","17.6","57.1","56.2","58.1","12.3","11.7","12.8"
"Papua New Guinea","2015","64.5","62.6","66.5","16.3","15.2","17.5","56.4","55.5","57.4","12.2","11.6","12.7"
"Papua New Guinea","2010","63.4","61.5","65.4","16.1","14.9","17.2","55.4","54.5","56.4","12.0","11.3","12.5"
"Papua New Guinea","2000","63.3","61.1","65.6","16.4","15.0","17.6","55.3","54.1","56.5","12.2","11.5","12.9"
"Paraguay","2019","75.8","73.1","78.8","21.8","20.2","23.5","65.8","64.5","67.3","16.5","15.4","17.6"
"Paraguay","2015","75.6","72.8","78.6","21.8","20.2","23.5","65.6","64.3","67.1","16.5","15.6","17.5"
"Paraguay","2010","75.0","72.5","77.7","21.6","20.2","23.0","65.2","64.1","66.5","16.4","15.6","17.3"
"Paraguay","2000","74.8","72.6","77.1","22.0","20.7","23.3","65.0","64.1","66.0","16.8","16.0","17.5"
"Peru","2019","79.9","78.5","81.3","24.4","23.7","25.1","69.5","69.2","69.8","18.5","18.3","18.7"
"Peru","2015","79.1","77.6","80.6","24.0","23.3","24.7","68.8","68.5","69.2","18.2","18.0","18.5"
"Peru","2010","77.3","75.6","78.9","23.0","22.2","23.8","67.5","67.0","67.9","17.5","17.3","17.8"
"Peru","2000","74.4","72.9","75.9","22.3","21.6","22.9","64.9","64.6","65.3","17.0","16.8","17.1"
"Philippines","2019","70.4","67.4","73.6","17.8","15.8","19.6","62.0","60.1","63.9","13.4","12.1","14.6"
"Philippines","2015","70.3","67.1","73.7","17.8","15.8","19.7","61.9","59.9","64.0","13.5","12.1","14.8"
"Philippines","2010","70.0","66.6","73.5","18.0","16.0","19.9","61.6","59.5","63.8","13.6","12.2","14.9"
"Philippines","2000","69.0","65.5","72.9","17.6","15.5","19.7","60.6","58.2","63.1","13.3","11.8","14.6"
"Poland","2019","78.3","74.5","81.9","22.1","19.5","24.3","68.7","65.9","71.3","16.8","14.9","18.5"
"Poland","2015","77.3","73.4","81.1","21.5","18.8","23.7","68.0","65.1","70.9","16.4","14.4","18.2"
"Poland","2010","76.3","72.1","80.4","21.0","18.2","23.3","67.1","64.0","70.2","16.0","13.9","17.7"
"Poland","2000","73.7","69.5","77.9","19.2","16.5","21.4","65.0","61.9","68.1","14.7","12.7","16.3"
"Portugal","2019","81.6","78.6","84.4","24.3","22.1","26.3","71.0","69.6","72.2","18.6","17.3","19.8"
"Portugal","2015","80.9","77.9","83.7","23.8","21.7","25.6","70.5","69.0","71.8","18.3","17.0","19.4"
"Portugal","2010","79.7","76.6","82.7","23.1","20.9","25.0","69.3","67.8","70.8","17.6","16.3","18.8"
"Portugal","2000","76.6","73.1","80.1","21.2","19.1","23.1","66.8","65.0","68.7","16.3","14.9","17.4"
"Qatar","2019","77.2","78.0","76.6","19.5","20.6","18.4","67.1","68.1","65.1","14.2","15.1","13.1"
"Qatar","2015","76.4","77.2","75.9","19.0","20.1","17.9","66.4","67.4","64.5","13.8","14.6","12.7"
"Qatar","2010","74.1","75.0","73.9","17.3","18.7","16.1","64.7","65.8","63.1","12.5","13.6","11.5"
"Qatar","2000","71.3","71.1","71.7","15.9","16.4","15.2","62.4","62.8","61.4","11.6","12.1","10.8"
"Republic of Korea","2019","83.3","80.3","86.1","25.8","23.4","27.9","73.1","71.3","74.7","19.8","18.2","21.2"
"Republic of Korea","2015","82.2","79.0","85.1","24.8","22.3","26.9","72.0","70.2","73.7","19.0","17.3","20.3"
"Republic of Korea","2010","80.6","77.1","83.8","23.7","21.1","25.9","70.9","68.7","72.9","18.2","16.4","19.7"
"Republic of Korea","2000","76.2","72.5","79.8","20.7","18.1","22.7","67.4","64.9","69.7","15.9","14.2","17.3"
"Republic of Moldova","2019","73.3","69.3","77.1","19.0","16.6","20.9","64.5","61.9","67.1","14.6","12.8","16.0"
"Republic of Moldova","2015","71.1","67.2","75.0","17.8","15.6","19.5","62.9","60.2","65.5","13.6","12.0","15.0"
"Republic of Moldova","2010","68.8","64.6","73.1","16.5","14.5","18.2","61.0","58.1","64.0","12.7","11.2","13.9"
"Republic of Moldova","2000","66.9","63.1","70.5","15.8","14.0","17.2","59.3","56.7","61.8","12.1","10.8","13.2"
"North Macedonia","2019","74.8","72.8","76.9","18.3","17.0","19.6","66.1","65.1","67.3","14.0","13.1","14.9"
"North Macedonia","2015","73.7","71.7","75.9","17.9","16.6","19.2","65.3","64.2","66.5","13.7","12.8","14.6"
"North Macedonia","2010","73.1","70.9","75.4","17.5","16.1","18.7","64.9","63.6","66.2","13.4","12.5","14.3"
"North Macedonia","2000","71.1","68.9","73.5","16.4","15.2","17.7","63.2","61.8","64.6","12.7","11.8","13.5"
"Romania","2019","75.6","72.0","79.3","20.3","17.8","22.4","66.8","64.3","69.4","15.7","13.8","17.3"
"Romania","2015","74.8","71.3","78.4","19.9","17.6","21.9","66.3","63.8","68.8","15.4","13.6","17.0"
"Romania","2010","73.7","70.1","77.4","19.2","17.1","21.1","65.4","62.8","68.1","15.0","13.3","16.5"
"Romania","2000","71.4","68.0","74.9","18.2","16.4","19.7","63.3","60.7","65.9","14.1","12.7","15.4"
"Russian Federation","2019","73.2","68.2","78.0","19.9","16.8","22.2","64.2","60.7","67.5","15.0","12.8","16.7"
"Russian Federation","2015","71.3","65.8","76.6","19.1","15.9","21.4","62.7","58.8","66.5","14.4","12.1","16.1"
"Russian Federation","2010","68.8","62.9","74.7","17.8","14.5","20.2","60.5","56.2","64.9","13.4","11.0","15.1"
"Russian Federation","2000","65.3","59.0","72.3","16.4","13.3","18.7","57.3","52.4","62.8","12.3","9.9","14.0"
"Rwanda","2019","69.1","66.9","71.2","18.0","16.6","19.2","60.2","59.0","61.4","13.6","12.7","14.4"
"Rwanda","2015","67.7","65.5","69.8","17.9","16.5","19.1","58.9","57.6","60.1","13.5","12.5","14.3"
"Rwanda","2010","64.4","62.3","66.5","17.4","15.9","18.6","55.9","54.8","57.1","13.1","12.1","13.9"
"Rwanda","2000","47.5","45.9","49.2","13.4","11.8","15.0","41.2","40.4","42.0","10.0","9.0","11.1"
"Saint Lucia","2019","74.3","71.3","77.7","20.9","19.2","22.9","64.7","63.0","66.6","15.8","14.7","17.1"
"Saint Lucia","2015","75.0","71.8","78.5","21.7","19.8","23.8","65.2","63.4","67.3","16.4","15.1","17.8"
"Saint Lucia","2010","75.2","71.9","78.9","22.0","19.9","24.3","65.5","63.5","67.7","16.7","15.2","18.2"
"Saint Lucia","2000","73.2","70.3","76.3","20.0","18.5","21.7","64.0","62.4","65.8","15.2","14.2","16.3"
"Saint Vincent and the Grenadines","2019","73.2","71.3","75.3","20.9","20.2","21.6","64.0","62.9","65.1","15.9","15.4","16.4"
"Saint Vincent and the Grenadines","2015","72.5","70.3","74.9","20.1","19.2","21.0","63.5","62.2","64.9","15.4","14.8","16.1"
"Saint Vincent and the Grenadines","2010","72.9","70.9","75.0","19.8","19.0","20.7","64.0","62.9","65.2","15.3","14.7","15.9"
"Saint Vincent and the Grenadines","2000","70.6","68.5","72.8","18.5","17.5","19.5","62.2","61.1","63.4","14.3","13.6","15.0"
"Samoa","2019","70.5","69.2","71.8","17.9","17.4","18.3","62.1","61.8","62.5","13.4","13.3","13.5"
"Samoa","2015","70.0","68.7","71.5","17.7","17.1","18.2","61.9","61.5","62.3","13.3","13.2","13.5"
"Samoa","2010","69.6","68.1","71.2","17.5","16.8","18.1","61.5","61.0","62.1","13.2","13.0","13.4"
"Samoa","2000","68.5","66.5","70.8","17.1","16.1","18.0","60.7","59.7","61.9","12.9","12.4","13.4"
"Sao Tome and Principe","2019","70.4","68.8","72.0","17.7","16.7","18.6","61.6","60.9","62.2","13.1","12.6","13.7"
"Sao Tome and Principe","2015","69.6","68.0","71.1","17.6","16.7","18.4","60.9","60.4","61.5","13.0","12.5","13.5"
"Sao Tome and Principe","2010","68.2","66.9","69.5","17.5","16.7","18.1","59.8","59.3","60.2","12.9","12.6","13.3"
"Sao Tome and Principe","2000","63.5","62.5","64.3","17.1","16.6","17.5","55.6","55.5","55.7","12.6","12.5","12.8"
"Saudi Arabia","2019","74.3","73.1","76.1","19.9","19.3","20.8","64.0","63.8","64.4","14.0","13.8","14.4"
"Saudi Arabia","2015","73.2","71.7","75.2","19.2","18.4","20.3","63.2","62.8","63.8","13.6","13.3","14.1"
"Saudi Arabia","2010","71.8","70.4","73.7","18.3","17.4","19.3","62.2","61.9","62.6","13.0","12.6","13.4"
"Saudi Arabia","2000","70.5","69.6","71.6","17.5","16.9","18.2","61.2","61.2","61.0","12.4","12.3","12.6"
"Senegal","2019","68.6","66.8","70.1","18.1","17.2","18.9","59.4","58.8","59.9","13.1","12.6","13.5"
"Senegal","2015","67.2","65.5","68.8","17.8","16.8","18.7","58.2","57.6","58.7","12.9","12.3","13.3"
"Senegal","2010","65.5","63.7","67.2","17.6","16.5","18.5","56.7","56.0","57.3","12.7","12.1","13.2"
"Senegal","2000","58.6","56.9","60.3","16.6","15.5","17.6","50.8","50.1","51.5","12.0","11.4","12.5"
"Serbia","2019","75.9","73.5","78.3","19.6","17.9","21.1","66.9","65.4","68.4","14.9","13.7","16.0"
"Serbia","2015","75.2","72.7","77.8","19.2","17.6","20.7","66.4","64.8","68.1","14.7","13.5","15.8"
"Serbia","2010","74.2","71.6","76.8","18.6","17.1","20.0","65.7","64.0","67.4","14.3","13.2","15.3"
"Serbia","2000","71.4","68.7","74.3","17.1","15.7","18.4","63.4","61.5","65.4","13.2","12.2","14.2"
"Seychelles","2019","73.3","70.0","77.1","19.5","17.5","21.5","64.0","61.9","66.4","14.1","12.7","15.4"
"Seychelles","2015","73.2","70.0","76.8","19.5","17.6","21.4","64.0","61.9","66.3","14.1","12.8","15.4"
"Seychelles","2010","73.0","69.6","76.8","19.3","17.1","21.4","64.0","61.8","66.4","14.1","12.6","15.5"
"Seychelles","2000","71.9","67.8","76.3","19.0","16.6","21.1","63.1","60.3","66.1","13.9","12.2","15.3"
"Sierra Leone","2019","60.8","59.6","61.9","17.0","16.4","17.4","52.9","52.5","53.3","12.6","12.4","12.8"
"Sierra Leone","2015","56.9","55.9","57.9","16.4","15.8","16.8","49.7","49.4","50.0","12.2","11.9","12.4"
"Sierra Leone","2010","54.7","53.7","55.8","15.7","15.0","16.3","47.8","47.4","48.1","11.7","11.3","12.0"
"Sierra Leone","2000","48.7","46.8","50.7","15.4","14.3","16.3","42.2","40.9","43.5","11.3","10.7","11.9"
"Singapore","2019","83.2","81.0","85.5","25.5","23.8","27.2","73.6","72.4","74.7","20.0","18.8","21.0"
"Singapore","2015","82.8","80.7","84.9","25.1","23.3","26.7","73.2","72.1","74.3","19.5","18.4","20.6"
"Singapore","2010","81.7","79.4","84.0","24.1","22.2","25.8","72.3","71.1","73.6","18.8","17.5","19.9"
"Singapore","2000","78.4","76.2","80.7","21.5","19.7","23.1","69.5","68.2","70.8","16.6","15.4","17.7"
"Slovakia","2019","78.2","74.8","81.4","21.8","19.3","23.9","68.5","66.2","70.8","16.6","14.6","18.2"
"Slovakia","2015","77.0","73.5","80.4","21.0","18.4","23.0","67.6","65.1","70.0","16.0","14.0","17.6"
"Slovakia","2010","75.5","71.7","79.1","19.8","17.2","21.9","66.5","63.7","69.1","15.1","13.1","16.8"
"Slovakia","2000","73.3","69.2","77.4","18.5","15.9","20.7","64.7","61.6","67.8","14.2","12.2","15.9"
"Slovenia","2019","81.3","78.6","84.1","23.8","21.8","25.6","70.7","69.0","72.5","17.8","16.4","19.2"
"Slovenia","2015","80.5","77.6","83.3","23.3","21.1","25.2","70.0","68.1","71.9","17.4","15.8","18.8"
"Slovenia","2010","79.6","76.2","82.7","22.8","20.3","24.8","69.2","67.0","71.4","17.0","15.2","18.6"
"Slovenia","2000","76.1","72.2","79.7","20.5","17.7","22.7","66.5","63.8","69.1","15.3","13.2","17.0"
"Solomon Islands","2019","65.2","62.9","67.9","15.5","14.7","16.3","57.8","56.5","59.1","11.8","11.4","12.2"
"Solomon Islands","2015","64.7","62.3","67.4","15.3","14.5","16.1","57.4","56.1","58.8","11.7","11.2","12.1"
"Solomon Islands","2010","63.7","61.3","66.4","14.9","14.1","15.7","56.6","55.3","58.1","11.4","11.0","11.9"
"Solomon Islands","2000","62.5","60.1","65.2","14.4","13.7","15.3","55.7","54.4","57.2","11.1","10.7","11.6"
"Somalia","2019","56.5","54.0","59.2","14.5","13.2","16.0","49.7","48.3","51.3","11.2","10.3","12.2"
"Somalia","2015","54.6","52.2","57.3","14.2","12.8","15.8","48.1","46.7","49.7","10.9","10.0","12.0"
"Somalia","2010","52.0","49.5","54.9","13.7","12.2","15.4","45.9","44.4","47.7","10.6","9.6","11.7"
"Somalia","2000","49.9","47.6","52.6","13.1","11.6","14.7","44.0","42.7","45.5","10.1","9.1","11.2"
"South Africa","2019","65.3","62.2","68.3","19.1","17.3","20.5","56.2","54.6","57.7","13.9","12.7","14.8"
"South Africa","2015","62.6","59.8","65.3","17.7","15.9","19.1","54.1","52.7","55.5","12.9","11.7","13.9"
"South Africa","2010","57.1","55.0","59.2","16.9","15.1","18.5","49.6","48.7","50.5","12.3","11.1","13.4"
"South Africa","2000","55.8","53.1","58.6","16.2","14.4","18.0","48.5","47.1","50.0","11.9","10.7","13.0"
"South Sudan","2019","62.8","60.8","64.8","17.8","16.6","18.9","53.7","52.9","54.5","12.7","12.2","13.1"
"South Sudan","2015","62.0","59.8","64.3","17.4","16.2","18.7","53.0","52.1","54.0","12.4","11.9","13.0"
"South Sudan","2010","61.1","59.2","63.1","17.2","15.9","18.5","52.4","51.7","53.1","12.3","11.7","12.8"
"South Sudan","2000","54.1","52.1","56.4","16.3","15.0","17.7","46.4","45.4","47.4","11.6","11.0","12.2"
"Spain","2019","83.2","80.7","85.7","25.4","23.3","27.3","72.1","71.3","72.9","19.2","18.0","20.3"
"Spain","2015","82.3","79.7","84.9","24.7","22.6","26.7","71.6","70.6","72.4","18.8","17.5","20.0"
"Spain","2010","81.7","78.8","84.6","24.4","22.2","26.5","71.0","69.8","72.2","18.5","17.1","19.8"
"Spain","2000","79.1","75.7","82.5","22.7","20.3","24.8","69.1","67.1","71.0","17.3","15.7","18.7"
"Sri Lanka","2019","76.9","73.8","79.8","20.8","18.6","22.6","67.0","65.1","69.0","15.3","13.8","16.6"
"Sri Lanka","2015","76.3","73.0","79.4","20.7","18.6","22.6","66.6","64.4","68.6","15.2","13.8","16.5"
"Sri Lanka","2010","73.3","69.4","77.3","20.0","18.1","21.8","64.2","61.5","67.0","14.9","13.5","16.2"
"Sri Lanka","2000","71.9","67.9","76.3","19.6","18.1","21.2","63.0","60.1","66.2","14.7","13.5","15.8"
"Sudan","2019","69.1","67.6","70.8","18.6","17.8","19.4","59.9","59.6","60.3","13.6","13.3","14.0"
"Sudan","2015","67.9","66.2","69.7","18.5","17.7","19.3","58.9","58.4","59.4","13.5","13.2","13.9"
"Sudan","2010","66.6","64.7","68.4","18.2","17.3","19.1","57.7","57.2","58.3","13.3","12.9","13.7"
"Sudan","2000","62.5","60.4","64.7","17.3","16.2","18.3","54.3","53.5","55.1","12.6","12.1","13.1"
"Suriname","2019","71.5","68.5","74.6","18.5","16.4","20.5","62.4","60.7","64.2","14.1","12.6","15.4"
"Suriname","2015","72.6","69.5","75.8","19.8","17.8","21.8","63.2","61.4","65.0","15.0","13.6","16.4"
"Suriname","2010","71.8","68.7","75.1","19.9","18.0","21.5","62.6","60.8","64.6","15.1","13.9","16.2"
"Suriname","2000","69.9","67.1","73.0","18.9","17.4","20.5","61.3","59.7","63.0","14.5","13.5","15.6"
"Sweden","2019","82.4","80.8","84.0","24.5","23.3","25.6","71.9","71.7","72.1","18.9","18.3","19.4"
"Sweden","2015","81.7","80.0","83.5","24.0","22.7","25.3","71.4","71.0","71.8","18.5","17.8","19.1"
"Sweden","2010","81.3","79.4","83.1","23.7","22.2","25.0","71.2","70.7","71.7","18.3","17.5","19.0"
"Sweden","2000","79.6","77.3","81.8","22.4","20.6","24.1","69.9","69.0","70.7","17.4","16.3","18.4"
"Switzerland","2019","83.4","81.8","85.1","25.4","24.1","26.6","72.5","72.2","72.8","19.5","18.8","20.2"
"Switzerland","2015","82.6","80.6","84.5","24.8","23.3","26.2","71.7","71.2","72.3","19.0","18.2","19.9"
"Switzerland","2010","82.2","80.0","84.2","24.6","22.9","26.2","71.4","70.6","72.0","18.9","17.8","19.8"
"Switzerland","2000","79.7","76.9","82.3","23.0","20.8","24.8","69.3","67.9","70.6","17.7","16.2","18.9"
"Syrian Arab Republic","2019","72.7","71.2","74.3","18.7","18.2","19.3","62.9","62.5","63.3","13.9","13.8","14.2"
"Syrian Arab Republic","2015","64.4","60.9","68.4","16.2","15.5","17.0","56.3","54.1","58.8","12.2","11.9","12.6"
"Syrian Arab Republic","2010","74.3","73.2","75.6","19.2","18.9","19.6","65.1","65.2","65.1","14.6","14.6","14.6"
"Syrian Arab Republic","2000","71.5","70.4","72.7","17.6","17.4","18.0","62.8","62.9","62.8","13.4","13.5","13.4"
"Tajikistan","2019","69.5","67.6","71.5","16.1","15.1","17.2","62.0","60.9","63.2","12.7","12.1","13.4"
"Tajikistan","2015","68.7","66.7","70.8","15.5","14.5","16.7","61.4","60.3","62.7","12.3","11.6","13.1"
"Tajikistan","2010","68.0","66.0","70.2","15.6","14.7","16.6","60.9","59.7","62.2","12.4","11.8","13.1"
"Tajikistan","2000","65.6","63.5","67.8","17.2","16.4","18.0","58.3","57.0","59.8","13.6","13.1","14.1"
"Thailand","2019","77.7","74.4","81.0","23.6","22.1","24.8","68.3","65.9","70.6","18.0","17.0","18.8"
"Thailand","2015","77.4","74.1","80.7","23.5","22.2","24.7","68.0","65.7","70.3","17.9","17.0","18.7"
"Thailand","2010","76.3","73.2","79.3","22.8","21.7","23.8","67.1","65.0","69.2","17.4","16.7","18.0"
"Thailand","2000","71.3","67.5","75.2","20.8","19.3","22.1","62.6","59.9","65.5","15.6","14.7","16.5"
"Timor-Leste","2019","69.6","67.9","71.4","17.9","16.9","18.9","60.9","59.8","62.0","13.2","12.5","13.8"
"Timor-Leste","2015","68.9","67.3","70.5","18.0","17.2","18.8","60.3","59.4","61.3","13.3","12.8","13.8"
"Timor-Leste","2010","68.1","66.8","69.4","18.3","17.7","18.8","59.3","58.4","60.2","13.5","13.1","13.8"
"Timor-Leste","2000","62.7","61.9","63.4","17.9","17.7","18.0","53.1","52.4","53.7","12.5","12.4","12.6"
"Togo","2019","64.3","61.5","67.2","17.0","15.4","18.6","56.2","54.7","57.8","12.8","11.8","13.8"
"Togo","2015","61.9","59.2","64.8","16.5","14.8","18.3","54.2","52.8","55.8","12.4","11.3","13.5"
"Togo","2010","59.3","57.0","61.8","15.9","14.2","17.8","52.0","50.8","53.2","12.0","10.8","13.2"
"Togo","2000","55.9","53.9","58.1","15.7","14.0","17.4","48.9","48.0","50.0","11.7","10.7","12.8"
"Tonga","2019","72.6","69.8","75.6","19.0","17.0","21.2","64.0","62.7","65.5","14.5","13.3","15.7"
"Tonga","2015","72.3","69.4","75.5","18.9","16.8","21.1","63.9","62.5","65.6","14.4","13.1","15.8"
"Tonga","2010","72.2","69.1","75.5","18.9","16.7","21.2","63.9","62.3","65.5","14.4","13.1","15.8"
"Tonga","2000","70.9","68.0","74.2","18.0","15.5","20.8","62.9","61.5","64.5","13.8","12.2","15.5"
"Trinidad and Tobago","2019","76.1","72.5","79.9","22.7","20.4","25.0","66.2","64.0","68.6","17.2","15.6","18.9"
"Trinidad and Tobago","2015","74.6","71.1","78.3","21.6","19.4","23.7","65.2","62.9","67.6","16.5","14.9","18.1"
"Trinidad and Tobago","2010","72.1","68.7","75.7","19.6","17.6","21.5","63.3","61.2","65.6","15.1","13.6","16.5"
"Trinidad and Tobago","2000","69.7","66.9","72.6","18.1","16.4","19.8","61.4","59.8","63.1","14.0","12.8","15.2"
"Tunisia","2019","77.0","74.9","79.2","21.5","20.2","22.8","66.9","66.1","67.7","16.0","15.1","16.8"
"Tunisia","2015","76.7","74.6","78.8","21.2","19.9","22.5","66.7","66.0","67.5","15.8","15.0","16.6"
"Tunisia","2010","76.0","73.9","78.2","20.9","19.6","22.1","66.3","65.5","67.1","15.6","14.8","16.4"
"Tunisia","2000","74.1","71.9","76.5","20.1","18.9","21.5","64.8","63.9","65.8","15.1","14.4","15.9"
"Turkey","2019","78.6","76.4","80.7","22.0","20.6","23.2","68.4","67.8","69.0","16.6","15.8","17.3"
"Turkey","2015","77.8","75.4","80.1","21.5","19.9","22.9","67.7","66.9","68.4","16.2","15.2","17.1"
"Turkey","2010","76.9","74.6","79.1","21.2","19.8","22.6","66.9","66.3","67.6","15.9","15.1","16.7"
"Turkey","2000","74.4","71.9","76.8","21.5","20.1","22.7","65.0","64.1","65.8","16.3","15.6","17.0"
"Turkmenistan","2019","69.7","66.5","73.0","18.7","17.1","20.1","62.1","59.9","64.3","14.7","13.6","15.6"
"Turkmenistan","2015","69.1","65.7","72.6","18.0","16.3","19.6","61.7","59.4","64.0","14.2","13.0","15.3"
"Turkmenistan","2010","67.3","63.6","71.1","17.2","15.3","18.8","60.1","57.6","62.7","13.6","12.3","14.7"
